loss,recall,accuracy,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/hidden_size,config/dropout,config/output_size,config/num_blocks
0.1055220288608935,0.9516257391686894,0.9676567055393586,1737902617,,True,1,2025-01-26_15-43-37,2014.7380900382996,2014.7380900382996,2937,Mac.home,127.0.0.1,2014.7380900382996,1,"1_dropout=0.1069,hidden_size=71,output_size=5",71,0.10687297298020348,5,1
0.231519223226142,0.9454189189298806,0.9196428571428571,1737902610,,True,1,2025-01-26_15-43-30,2005.3219430446625,2005.3219430446625,2945,Mac.home,127.0.0.1,2005.3219430446625,1,"2_dropout=0.1942,hidden_size=66,output_size=5",66,0.19417891122967376,5,1
0.12192136147290294,0.9520924589332082,0.9645590379008746,1737907757,,True,1,2025-01-26_17-09-17,7149.887452840805,7149.887452840805,2948,Mac.home,127.0.0.1,7149.887452840805,1,"3_dropout=0.1022,hidden_size=207,output_size=5",207,0.10215947388058436,5,1
0.07460517587418397,0.9497730821128291,0.9825072886297376,1737911721,,True,1,2025-01-26_18-15-21,11111.583109140396,11111.583109140396,2953,Mac.home,127.0.0.1,11111.583109140396,1,"4_dropout=0.0476,hidden_size=240,output_size=5",240,0.04763937013192901,5,1
0.08251889808607117,0.9585400955802867,0.9774963556851312,1737906444,,True,1,2025-01-26_16-47-24,3826.01274394989,3826.01274394989,5484,Mac.home,127.0.0.1,3826.01274394989,1,"5_dropout=0.1683,hidden_size=117,output_size=5",117,0.16831557460370805,5,1
0.07234990850706403,0.9434752931910849,0.9815962099125365,1737907466,,True,1,2025-01-26_17-04-26,4838.223630189896,4838.223630189896,5493,Mac.home,127.0.0.1,4838.223630189896,1,"6_dropout=0.0645,hidden_size=147,output_size=5",147,0.06452831262789678,5,1
0.08504883402553944,0.9619594815551045,0.9733965014577259,1737908245,,True,1,2025-01-26_17-17-25,1794.105654001236,1794.105654001236,10107,Mac.home,127.0.0.1,1794.105654001236,1,"7_dropout=0.1971,hidden_size=58,output_size=5",58,0.19712324714763693,5,1
0.08314882434163658,0.9621576087016054,0.9763119533527697,1737912202,,True,1,2025-01-26_18-23-22,4724.695899963379,4724.695899963379,11379,Mac.home,127.0.0.1,4724.695899963379,1,"8_dropout=0.1746,hidden_size=136,output_size=5",136,0.17458990488612944,5,1
0.10002753997826405,0.955321874795334,0.9665634110787172,1737909285,,True,1,2025-01-26_17-34-45,1521.2316689491272,1521.2316689491272,11719,Mac.home,127.0.0.1,1521.2316689491272,1,"9_dropout=0.0650,hidden_size=41,output_size=5",41,0.06502080477779548,5,1
0.13763908303475805,0.9485109268311288,0.9559948979591837,1737912887,,True,1,2025-01-26_18-34-47,4635.729474067688,4635.729474067688,12276,Mac.home,127.0.0.1,4635.729474067688,1,"10_dropout=0.0151,hidden_size=185,output_size=5",185,0.015081384905918482,5,1


0.09314016372680022,0.9501373958927746,0.9780430029154519,1737988047,,True,1,2025-01-27_15-27-27,3309.859174013138,3309.859174013138,2221,MacBook-Air-van-Ruben-2.local,127.0.0.1,3309.859174013138,1,"1_dropout=0.1281,hidden_size=118,num_blocks=3,output_size=5",118,0.12814431453288327,5,3
0.1374833037765865,0.9469989537655841,0.950801749271137,1737988277,,True,1,2025-01-27_15-31-17,227.00775694847107,227.00775694847107,6914,MacBook-Air-van-Ruben-2.local,127.0.0.1,227.00775694847107,1,"2_dropout=0.1420,hidden_size=47,num_blocks=2,output_size=5",47,0.1420402314343364,5,2
0.09752352665674728,0.9631360309050568,0.9706632653061225,1737988810,,True,1,2025-01-27_15-40-10,529.7332580089569,529.7332580089569,7236,MacBook-Air-van-Ruben-2.local,127.0.0.1,529.7332580089569,1,"3_dropout=0.1815,hidden_size=37,num_blocks=3,output_size=5",37,0.1815183159772491,5,3
0.08844848042785029,0.9517730989323575,0.9748542274052479,1737989607,,True,1,2025-01-27_15-53-27,794.6767859458923,794.6767859458923,7982,MacBook-Air-van-Ruben-2.local,127.0.0.1,794.6767859458923,1,"4_dropout=0.0481,hidden_size=111,num_blocks=2,output_size=5",111,0.04814852321051708,5,2
0.10773909679083181,0.9522598530849758,0.9674744897959183,1737996328,,True,1,2025-01-27_17-45-28,6717.791391849518,6717.791391849518,9069,MacBook-Air-van-Ruben-2.local,127.0.0.1,6717.791391849518,1,"5_dropout=0.1873,hidden_size=36,num_blocks=5,output_size=5",36,0.18727289649743173,5,5
0.10199562680151357,0.9509472418616064,0.9662900874635568,1737996544,,True,1,2025-01-27_17-49-04,212.73948907852173,212.73948907852173,16321,Mac.home,127.0.0.1,212.73948907852173,1,"6_dropout=0.1854,hidden_size=50,num_blocks=2,output_size=5",50,0.1853922136881443,5,2
0.13606773011261494,0.957184253076101,0.9600036443148688,1737996898,,True,1,2025-01-27_17-54-58,351.2308158874512,351.2308158874512,16656,Mac.home,127.0.0.1,351.2308158874512,1,"7_dropout=0.0658,hidden_size=16,num_blocks=4,output_size=5",16,0.06584291474057884,5,4
0.16503994984405643,0.9374019111946416,0.9407798833819242,1737997075,,True,1,2025-01-27_17-57-55,175.07422399520874,175.07422399520874,17152,Mac.home,127.0.0.1,175.07422399520874,1,"8_dropout=0.1602,hidden_size=26,num_blocks=2,output_size=5",26,0.1602109920796517,5,2
0.13503872609524867,0.9586492375223343,0.9633746355685131,1738001367,,True,1,2025-01-27_19-09-27,4288.3830778598785,4288.3830778598785,17348,Mac.home,127.0.0.1,4288.3830778598785,1,"9_dropout=0.0418,hidden_size=53,num_blocks=4,output_size=5",53,0.04180346391495138,5,4
0.1254990566325029,0.9577055026980695,0.9589103498542274,1738003198,,True,1,2025-01-27_19-39-58,1828.0271670818329,1828.0271670818329,20534,Mac.home,127.0.0.1,1828.0271670818329,1,"10_dropout=0.1647,hidden_size=61,num_blocks=3,output_size=5",61,0.16467736427586457,5,3
0.16337156999999999,0.8797646299472393,0.9282655537845345,1738009167,,True,1,2025-01-29_19-32-47,3449.4915621499999361,3449.4915621499999361,10792,Mac.home,127.0.0.1,3449.4915621499999361,1,"dropout=0.0609,hidden_size=183,num_blocks=4,output_size=5",183,0.0609000000000000,5,4
0.18947088000000001,0.8913400280000001,0.9187837354574430,1738847493,,True,1,2025-01-29_19-36-41,2334.9213720500001727,2334.9213720500001727,12555,Mac.home,127.0.0.1,2334.9213720500001727,1,"dropout=0.0536,hidden_size=139,num_blocks=5,output_size=5",139,0.0536000000000000,5,5
0.14371602999999999,0.8700674899423724,0.9174324452234599,1748276394,,True,1,2025-01-29_19-38-49,214.3350616300000127,214.3350616300000127,12253,Mac.home,127.0.0.1,214.3350616300000127,1,"dropout=0.1289,hidden_size=179,num_blocks=5,output_size=5",179,0.1289000000000000,5,5
0.16874736759304545,0.8193769322444937,0.9013549863003454,1759274922,,True,1,2025-01-29_19-38-49,214.3350616300000127,214.3350616300000127,12253,Mac.home,127.0.0.1,214.3350616300000127,1,"dropout=0.1300,hidden_size=179,num_blocks=5,output_size=5",240,0.1300000000000000,5,5

0.1976560102730483,0.9488012134049867,0.9290698682385575,1738159837,,True,1,2025-01-29_15-10-37,200.01955890655518,200.01955890655518,3003,Mac.home,127.0.0.1,200.01955890655518,1,"1_dropout=0.1223,hidden_size=67,num_blocks=2,output_size=5",67,0.12226580339768152,5,2
0.30132866444662937,0.9336825217373981,0.8768854022191401,1738159942,,True,1,2025-01-29_15-12-22,102.11838483810425,102.11838483810425,3324,Mac.home,127.0.0.1,102.11838483810425,1,"2_dropout=0.1248,hidden_size=21,num_blocks=2,output_size=5",21,0.12475797792997007,5,2
0.1953978994092678,0.9427089759932756,0.9276395631067961,1738160051,,True,1,2025-01-29_15-14-11,105.88664817810059,105.88664817810059,3542,Mac.home,127.0.0.1,105.88664817810059,1,"3_dropout=0.1854,hidden_size=48,num_blocks=2,output_size=5",48,0.18538581279030675,5,2
0.6587246106666269,0.8624204281110556,0.7228242024965327,1738160114,,True,1,2025-01-29_15-15-14,60.10277581214905,60.10277581214905,3729,Mac.home,127.0.0.1,60.10277581214905,1,"4_dropout=0.1008,hidden_size=36,num_blocks=1,output_size=5",36,0.10077485485843996,5,1
0.16940109283907465,0.9428210386600971,0.9417259015256588,1738160262,,True,1,2025-01-29_15-17-42,144.4177210330963,144.4177210330963,3914,Mac.home,127.0.0.1,144.4177210330963,1,"5_dropout=0.1828,hidden_size=64,num_blocks=2,output_size=5",64,0.18284019936893436,5,2
